"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
113697,67806,109890,28066,19130,96149,565.5,172.26,2376,15768.5,3619.2,6096.48,581.25,4284.54,51.6
45266.2,28635,103599,33245.9,21531,101194,415.86,166.46,3314.25,18610.8,4823.52,12769.4,786.75,2546.7,53.5
89959.2,53503,110191,19419.7,14447,88093.5,1429.12,440.8,2613,21679.3,4197.18,20254.3,469.5,17173.3,53.6
142248,82538,112946,29747.6,21662,89998.2,569.56,150.22,3046.5,19546,4859.4,16036,663,2638.74,53.9
88854.9,58547,99461.9,30768.7,21303,94655.9,1292.82,230.26,3759.75,25642.5,5954.52,22685.5,783.75,7924.02,54.2
92425.6,57647,105074,27207.2,21147,84316.9,743.56,217.5,2700,18365.1,3995.16,9231.3,559.5,5375.76,54.2
154928,94662,107259,33332.5,24386,89579.3,1146.66,307.4,3579,28534.7,5638.62,13711.6,667.5,10802.2,54.6
120552,69394,113850,24293.1,17682,90039.2,496.48,225.04,2775,24570.8,5070.78,11416.9,513,4840.68,55.3
107161,60487,116105,33930.8,23651,94020.9,406.58,153.7,3159.75,30707.8,5850,14185.1,574.5,2134.08,56.3
96615.8,62174,101840,29449.7,21566,89493.4,886.82,346.26,3120,27450.5,5823.48,20962.5,588.75,11215.6,57.3
77981.7,47791,106937,35660,24107,96943.5,966.28,330.6,3010.5,11433.2,3644.16,16082,717,7708.74,57.5
110735,62595,115937,68901.3,52535,85952.5,497.06,141.52,3282,8815.56,4063.8,14296.6,1145.25,2794.74,57.6
124028,71270,114049,29287.4,20550,93400.6,252.88,253.46,4023,49170.4,8142.42,19535.1,546,1914.12,59.4
93933.8,47839,128683,30526.9,21487,93107.8,294.06,111.94,4063.5,48477.8,8182.2,12726.5,558,1916.46,59.7
68004.1,38669,115253,24716.6,16089,100679,573.04,278.4,3150,27911.5,5413.2,18214.6,687.75,2825.94,60.4
51031.3,32219,103802,19296.4,15087,83821.2,378.16,127.6,2111.25,4661.28,2294.76,4200.3,529.5,2780.7,60.7
87101.2,46247,123430,30278.8,21139,93871.6,499.38,157.18,3888.75,30086.9,6079.32,14424.5,794.25,2754.18,61.1
94637,56250,110260,31171.9,21930,93154.7,1358.94,196.62,4689.75,43595,8006.7,8643.96,918,13747.5,61.7
