"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
214876,57269.2,793.44,366.56,5310,32136,8319.48,35540.7,1149,4449.12,51.2
165941,31420,285.36,354.38,4956.75,62781.4,10565.9,27140.9,540,2107.56,51.4
107377,38901.7,371.78,183.86,4018.5,30911.4,6235.32,14054,721.5,2332.98,55.9
262143,118877,1325.88,600.88,9032.25,39204.4,11654.8,53586,2213.25,6970.08,56.6
171412,55502.5,2891.3,795.18,13125,174733,27293.8,46525.4,1191.75,32331.8,57.3
150967,45327.4,2067.12,698.32,9728.25,122186,19568.6,34050.1,1026,24675.3,57.5
122287,59527.3,528.96,390.92,12255,143413,22864.9,30403.6,1479.75,4351.62,57.8
262143,55526.6,4428.3,1148.98,14104.5,199707,31030.7,41280.7,1308,47888.1,58.4
128690,72469,321.9,233.16,7663.5,75182.6,13000.3,16095.3,1324.5,3339.18,58.4
262143,77179.4,3575.7,958.16,13682.3,158427,26328.9,49384.9,1565.25,37053.9,58.5
185019,64369.5,484.88,673.96,6647.25,37082.8,10064.3,47525.4,1363.5,6075.42,58.9
132682,76699,4043.76,1363,6771,23376.6,9459.06,49301.5,1582.5,46320.3,59
171374,30498.8,258.1,184.44,3459,36867.5,6665.1,14629.7,531,2148.12,59.3
137616,59908.7,608.42,238.38,5565,44010.7,8659.56,17760.6,939.75,3793.14,59.5
211412,47941.9,1369.96,408.9,5654.25,41282.3,9395.88,21441.4,1062,9053.46,61.7
223202,56910.4,466.32,484.3,5217,37847.2,8473.92,34784.9,1013.25,3590.34,66.1
177999,53736.5,468.64,519.1,4757.25,25993.5,6835.14,29366.2,1112.25,4517.76,66.9
124994,19810.4,162.4,129.92,3645.75,49474.6,7548.06,12254.6,348,1324.44,68.5
230901,62067.7,1914.58,2676.12,5984.25,30579.9,9232.86,62182.4,1265.25,4534.14,71.8
132779,33528.3,183.28,243.02,5275.5,57493.8,10032.4,19935.2,699,2098.98,72.5
181236,96246.5,979.04,284.78,5433,31536.2,8012.94,13466.7,1482,4321.98,72.7
185569,45151.9,480.24,398.46,4072.5,25147.2,6137.82,31555.7,843.75,3293.94,73.2
104740,41173.9,391.5,324.22,4024.5,32561.1,6794.58,27414.7,753,2603.64,74.3
192280,99993.7,913.5,605.52,7982.25,53245.9,12359.9,58556.9,1557,4806.36,76.5
167232,37750.4,2413.96,476.18,7521,97379.1,14930,24377.3,753,23556.8,77.4
262143,68548,832.3,274.34,8039.25,84896.8,15157.7,20879.8,1107,3741.66,77.7
257978,128460,1841.5,727.9,13517.3,97539.8,21211.3,34357.4,2673,11682.8,78.1
189963,64418.6,925.68,387.44,9906.75,105045,18422.8,28354.6,1456.5,4918.68,78.4
67884.4,85722.8,458.78,377,8275.5,57925.9,12018.2,27666.6,1458,4955.34,78.5
225701,85436.5,856.08,544.62,6916.5,33841.9,10055,44631.6,1518,5947.5,78.6
229914,43503.7,359.6,414.7,5248.5,54696.7,9678.24,28750.8,833.25,3281.46,78.8
182793,93058.7,954.68,492.42,6900.75,34774.7,9149.4,40394.6,1641.75,5536.44,78.9
122379,30450.4,1482.48,106.72,3320.25,18627.2,4768.92,10712.5,764.25,13029.9,80.1
80359.7,14103.2,396.72,132.82,1376.25,11528.4,2094.3,3359.46,352.5,4183.14,81.2
