"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
215321,94919.8,5144.02,13245.5,1829.25,2003.82,1846.26,19688,576,3019.38,50.1
124124,92434.7,5881.2,14038.9,1173,1040.52,1540.5,35284.1,329.25,4056,52
139390,61043.6,4543.72,10906.3,1437,1813.5,2152.8,32793.5,570.75,4595.76,52
69056,69948.8,2817.06,6580.1,1200.75,1320.54,1431.3,11370.8,429.75,1924.26,52.1
90276.1,37882.3,3340.8,8482.5,1173.75,1300.26,1305.72,22287.7,466.5,2337.66,52.7
102532,68337.4,2818.8,7372.38,1089,1053,1060.8,15456.5,323.25,2056.08,53.3
262143,144881,6520.94,15316.1,3179.25,3138.72,3056.04,31644.6,978.75,4807.92,54.5
262143,87367.8,6588.22,2796.76,1062,2781.48,1912.56,64242.4,364.5,141437,54.6
141550,105468,3327.46,7531.3,1610.25,1528.02,1873.56,25222.9,491.25,3236.22,55.2
101538,54727.1,3123.3,7608.44,1078.5,1029.6,1230.06,18653.7,398.25,1407.12,55.4
220382,37565.6,1027.76,256.94,477.75,896.22,513.24,11045.6,144,13327.1,57.3
80452.8,43990.4,2323.48,5105.74,914.25,1035.06,1011.66,10147,276.75,1609.92,60
131523,73274.8,3902.24,7843.34,1014.75,1095.9,2176.2,37729.4,348.75,3364.92,60.5
233494,175292,8046.92,15869.4,5052,6089.46,6314.88,38973.5,1685.25,14035.3,60.6
121486,77777.7,3984.6,9122.82,993,900.12,1477.32,40213.7,322.5,3924.18,60.7
110032,55348.8,3003.24,6164.82,1278,1278.42,1662.18,14274.8,452.25,1593.54,61.1
96614.4,43961.6,2991.64,5750.7,655.5,551.46,762.84,14397.2,192.75,1216.8,61.6
175520,73731.8,1514.38,322.48,950.25,3489.72,1589.64,16671.7,321,15802,61.9
244405,49110.4,1349.08,602.62,996,5400.72,1864.98,26309.4,267,16514.9,62.4
84568.2,63562.2,2751.52,7490.12,1319.25,1285.44,1596.66,17791,379.5,2578.68,64.1
262143,125465,2490.52,872.32,1902,7500.48,3191.76,41450,578.25,30950.4,65
189313,91892.6,3771.74,8629.82,1176,1009.32,1324.44,21542.8,373.5,3013.92,65.2
127344,57577.3,3174.92,7683.84,756.75,776.88,853.32,19529.6,217.5,3084.12,65.7
58847.2,128106,5169.54,10141.9,2793.75,2867.28,2789.28,18056.2,958.5,4190.16,66.5
99465.6,83030.2,4240.96,10141.3,2058,1033.5,1009.32,19626.4,415.5,1628.64,67
262143,115386,2695.26,646.7,1412.25,6477.12,2268.24,32586.8,369,31526.8,67.4
150452,70948.8,1358.36,1524.24,942,1361.88,3790.8,89932.4,290.25,12001.9,67.8
262143,195725,5089.5,1775.96,2515.5,4288.44,4853.94,82182.4,725.25,50578.3,68.1
103859,110613,4961.9,11312.9,2167.5,2053.74,2559.18,39737.1,702.75,5639.4,68.4
128100,96908.8,3480.58,9077,1764.75,2003.82,2116.14,26389,603.75,4417.92,68.6
192050,108342,4573.88,9956.28,1707,1603.68,1680.9,14694.4,567,3321.24,68.8
262143,262143,8414.64,11002.6,9254.25,51270.2,14165.6,73938.5,2340,39198.1,71.1
142193,71707,4469.48,9410.5,984,896.22,991.38,19496.9,285.75,2157.48,71.2
