"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
262143,199730,933.22,2295.64,2712.75,7136.22,6302.4,106408,538.5,2793.96,61.2
70737.7,79648.1,227.94,226.78,972,3997.5,1431.3,10196.2,199.5,503.1,62.3
87783.9,41602.9,5077.9,9858.26,1238.25,1335.36,1482.78,15770,500.25,1136.46,63.9
262143,196548,2302.02,2559.54,3402.75,18714.5,7303.14,81064.6,780,16163.9,65.2
262143,262143,7121.24,13042.5,6753.75,5847.66,6516.12,44902.3,1954.5,12080.6,65.6
109744,74448.7,3057.18,6679.28,1919.25,2061.54,2386.02,23345.4,765.75,2897.7,73.4
90718.1,82676.9,2079.88,5128.36,1506,1570.92,2123.16,41185.6,555.75,3229.98,74.5
96621.2,70601.7,1484.8,4080.3,1139.25,1194.96,1615.38,25160.5,354.75,1900.08,75.1
262143,262143,3742.16,8998.7,9096.75,52402,30000.4,262143,1931.25,13050.2,77.4
262143,204369,1106.06,1364.74,4090.5,11898.9,6295.38,64945.9,1024.5,5136.3,82.8
80310.7,54800.5,2353.64,5229.28,1109.25,1163.76,1494.48,15513.4,349.5,1237.86,83.8
176563,189808,2224.88,3825.1,2493.75,2822.82,2706.6,12402.8,880.5,3574.74,89.7
72413.2,67612,3223.06,7529.56,1063.5,974.22,1571.7,37966.5,332.25,2382.9,89.8
101837,66782,2217.34,5033.82,1777.5,1744.86,2014.74,26426.4,477.75,2514.72,93.6
191731,67541.8,526.64,497.06,1691.25,15451.8,3524.82,26593.3,270.75,3667.56,93.9
77699.5,63460,3720.12,8705.8,1300.5,1272.18,2182.44,47846,390.75,2964.78,94.4
90700.4,70242.9,2763.12,6403.78,1331.25,1473.42,1517.88,15656.2,411.75,2506.92,94.6
93359.9,130735,2540.4,3314.7,2140.5,2646.54,2730.78,16168.6,840,2725.32,96.1
108225,71852,5529.72,5138.22,1406.25,1614.6,2102.1,30420.8,429,2629.38,97.1
126033,165380,751.68,1528.88,2485.5,6672.12,2966.34,25444.4,574.5,1808.82,98.3
110352,66572.2,2949.88,7215.78,1497,1558.44,2056.86,44795.4,475.5,2389.92,99.3
141055,50319.4,243.02,273.76,1107.75,10934,2082.6,8081.58,161.25,2151.24,99.8
105134,45974.8,3438.82,8682.6,732.75,856.44,1215.24,17876,276.75,1264.38,102.2
93776.8,89660.2,123.54,190.82,874.5,1974.18,939.12,8749.26,246,826.02,102.7
120805,54804.4,2875.06,6867.2,1065.75,1088.1,1277.64,18989.1,339.75,1814.28,103
262143,197452,879.86,867.68,6186,59472.7,12217.9,45810.2,948.75,3374.28,103.5
158133,105309,942.5,1476.68,1602.75,4291.56,2149.68,19655.2,427.5,1595.88,106.1
262143,109921,639.16,2083.36,1317,7863.18,2703.48,40248,278.25,1574.82,106.5
262143,124856,842.74,1428.54,2060.25,8541,3458.52,36768.4,542.25,1708.2,107.3
96866,94233.4,3338.48,7524.34,1280.25,1315.86,2345.46,66664.3,396,3062.28,107.5
79434.2,65032.5,1562.52,4384.8,1091.25,1076.4,1159.08,13331,357,1509.3,107.9
90801.1,98721.5,6957.1,16594.4,1492.5,1985.88,2380.56,44981.8,492,4169.88,108.1
96919.7,52270.9,2257.36,6118.42,1207.5,1258.14,2322.06,59324.5,374.25,2247.96,108.4
124190,51760,2416.86,5284.38,711,729.3,868.92,14958.1,209.25,1727.7,108.9
218505,65388.2,262143,94158.9,1812.75,9303.06,2704.26,262143,401.25,262143,109.5
30678.9,92242.8,-101.5,-18.56,394.5,193.44,177.84,88.92,204.75,110.76,118.8
95161.2,42496.7,2798.5,4913.76,1356,1517.1,1485.12,15775.5,549,2019.42,121.8
178657,130004,2475.44,4938.7,1954.5,8629.92,4073.94,64999.7,472.5,5123.82,127.6
122220,66571.4,1567.16,2850.7,966,877.5,1136.46,21545.2,291.75,1658.28,134.1
183323,155020,1271.94,1110.7,2840.25,12193.7,3484.26,24871.9,528,11728.9,134.2
102817,49073.7,2407.58,5711.84,1250.25,1468.74,1647.36,19299.5,549,1744.08,137.2
87533.7,42908.6,3109.96,6636.94,1236.75,1304.16,1600.56,21124,354.75,2493.66,143.2
170052,91742,932.64,295.22,2556.75,24111.4,4906.2,14552.5,386.25,4078.62,144.1
99374.5,86776.6,5173.02,13047.1,1409.25,1475.76,1898.52,24578.6,438.75,2538.12,144.5
97707.2,71410.6,2569.98,6634.04,1494,1329.12,1625.52,22017.1,447,2542.02,144.8
101415,80114.6,3815.24,10133.2,1848,1886.82,2381.34,35231,630,2895.36,147.6
192547,262143,2525.32,1032.98,4229.25,5938.14,4042.74,42861,1166.25,15424.5,147.9
95478.1,35331.7,1119.4,2362.92,888.75,1052.22,1251.12,15155.4,320.25,1427.4,151.3
72069.1,70228.1,2092.64,4716.56,1119,1163.76,1854.84,45857.8,345,1893.06,154
198261,173141,356.12,431.52,1981.5,4525.56,3244.8,25892.1,724.5,1821.3,155.1
80080.2,61119.2,2292.16,5304.1,1539,1863.42,2654.34,61513.9,630.75,2488.98,155.7
122484,51769.4,2489.36,5203.18,1374,1344.72,1988.22,40980.4,540,1663.74,156
157353,96740.3,2408.74,5510,2257.5,2970.24,2847.78,28060.5,663,4131.66,158.3
121914,131294,4508.92,9210.4,3481.5,4112.94,7517.64,102289,1046.25,9526.14,158.5
158067,132757,6290.68,15365.4,2226.75,2275.26,3361.8,67815.5,640.5,4904.64,164.6
181240,95685.7,3625,8521.94,1607.25,1919.58,3102.84,54401.9,600.75,2675.4,173
152899,262143,2783.42,5091.24,3355.5,3622.32,3301.74,10530,1105.5,4828.2,173.5
262143,262143,4084.94,7364.84,7437.75,40625.5,12766.3,111325,1765.5,6739.2,173.7
234929,83179.2,485.46,520.26,1554,9039.42,3213.6,27007.5,340.5,1580.28,174.8
262143,262143,4646.96,3568.74,5334,32287.3,11304.5,152232,1110,38482.9,175
262143,262143,7270.3,15311.4,6093.75,6516.9,5664.36,24685.4,2523,6775.86,176.6
98379,73777.1,1680.84,3172.02,1437,1374.36,1428.96,5922.54,495,1755.78,178.8
261577,153004,4332.6,9589.14,3960.75,22507.7,7782.84,90624.3,953.25,4949.88,179.6
262143,146505,1626.9,1045.16,3389.25,28737.5,6183.84,30937.9,528.75,14681.9,179.9
262143,262143,7198.38,18261.9,6639,16958.8,17053.1,262143,1762.5,11677.4,180.1
190061,81350.9,284.78,630.46,1322.25,2602.86,2116.92,33161.7,325.5,1503.06,180.6
240930,89569,245.34,240.7,1106.25,2015.52,1435.98,12966.7,278.25,964.86,182.5
167096,119752,446.6,382.22,1630.5,2395.38,2453.1,23279.1,583.5,1740.96,183
192173,156083,1394.9,842.74,3289.5,17024.3,4619.16,23024.8,687,8830.38,183.9
184987,113626,3900.5,7979.64,1844.25,1928.16,2220.66,34376.2,555,3923.4,193.2
130203,65697.1,2431.94,4771.08,1670.25,2191.8,2006.94,9753.9,658.5,2329.86,195.4
136682,84073.1,2170.94,4823.86,1773.75,1901.64,1908.66,14852.8,597.75,3132.48,197.3
142312,151169,1581.66,1137.96,3530.25,26299.3,5198.7,29300.7,493.5,17376.8,200.2
131791,70164.1,506.92,278.98,1950.75,5609.76,2562.3,13669.5,425.25,1963.26,202.2
90676,50583,2701.06,6159.02,1154.25,1396.2,1911.78,38482.1,458.25,2377.44,204.7
262143,178712,1546.28,3674.88,3237.75,24777.5,6491.94,63914.8,538.5,2713.62,206.2
112707,98865,510.98,894.94,1310.25,6320.34,2896.14,36976.7,347.25,1559.22,207.3
56577.4,100423,2252.72,3856.42,1343.25,1290.12,1540.5,14619.5,365.25,5203.38,209.5
150676,100102,3221.32,9017.84,1719.75,1813.5,2214.42,30527.6,563.25,2913.3,211.6
118226,38649,2078.72,4105.82,885.75,841.62,1095.12,19890.8,313.5,1733.94,211.7
252423,262143,4675.38,5987.92,4994.25,8370.96,13898,262143,1414.5,26102.7,212.2
126347,116178,689.04,1102,2100.75,9313.2,4795.44,54037.6,580.5,2683.98,212.5
215163,77849.5,606.68,720.94,1282.5,6440.46,2231.58,22091.9,297.75,1630.2,214.5
113739,75444.7,3604.7,5978.06,1739.25,1783.08,2246.4,28800.7,485.25,4525.56,215.8
108561,129381,573.04,349.74,1209,4079.4,1699.62,16654.6,307.5,3676.92,217
146836,134801,2030.58,2304.34,2743.5,3004.56,2581.8,6339.06,978,2970.24,217.6
191285,82176.9,332.34,433.26,1396.5,5010.72,2283.06,23415.6,368.25,964.86,220.3
262143,191139,815.48,1711,3820.5,35266.9,9531.6,88916.1,606,3010.8,220.3
170136,88714.9,470.38,403.1,1424.25,7122.96,2098.98,11246,349.5,3302.52,221.9
87237.9,68775.7,1869.92,5227.54,1511.25,1997.58,2158.26,26385.8,548.25,3105.18,222.6
82898.1,50421.5,2046.82,5304.1,1152.75,1616.94,7640.88,143632,351,4497.48,231.8
66108.9,57667,3352.4,8058.52,1297.5,1219.92,1471.86,19386.1,424.5,1730.82,235
146456,143568,5333.1,13863.7,3102,3452.28,6399.12,149415,1025.25,6292.26,237.1
102088,75713.8,2928.42,5138.8,1867.5,2092.74,3016.26,54851.2,600.75,3300.96,245.1
171325,151354,4222.98,9743.42,1431.75,1457.82,1776.06,28991,429.75,2728.44,250.2
75111.4,78301.9,3710.84,8679.12,1851.75,2298.66,2776.02,35338.7,806.25,2307.24,252.2
76993,59389.2,3430.7,6652.02,1209.75,1352.52,1443,13929.2,423.75,3364.92,252.6
106568,105362,2527.64,5483.32,2020.5,2134.08,3047.46,60652.8,638.25,5057.52,252.8
232648,124341,469.22,665.26,2386.5,16481.4,4400.76,33429.2,475.5,1705.86,253.2
132402,81271.3,6302.28,16219.7,2082,2003.82,3440.58,54883.9,672,4398.42,253.9
125177,42932,604.94,338.14,574.5,2585.7,1134.9,13242.8,162,2092.74,257.4
81218.5,48275.8,1962.72,4028.68,1199.25,1343.94,1506.96,16934.6,458.25,1710.54,257.7
