"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
144615,130033,4600.56,11523.4,1966.5,2164.5,1916.46,12614.2,645.75,2793.18,55.4
116982,97719.2,4833.72,12579,2560.5,3170.7,2919.54,14900.3,883.5,4719,56.6
262143,262143,9000.44,20851.6,7160.25,8127.6,6962.28,29870.9,2601,9590.88,59.3
166930,86558.9,2801.4,6175.84,1482,1544.4,1690.26,8896.68,468,2435.16,62.1
260891,150401,4275.18,7899.02,3862.5,4105.92,3386.76,14050.9,1440,6849.96,62.8
160222,100010,5131.84,13349.9,1942.5,1978.86,1613.04,8709.48,650.25,2629.38,64.7
77632.9,146429,2176.74,4551.84,2576.25,2768.22,2477.28,12652.4,1319.25,3538.86,65.5
262143,205820,7984.28,19354,2265,2694.9,2240.94,20550.7,670.5,3874.26,66.2
192554,199352,8014.44,15824.7,6231,6562.14,7204.08,60875.9,2086.5,11216.4,67
110716,112191,5255.96,13385.2,1745.25,1932.84,1787.76,10976.2,601.5,2566.98,68.6
67576.4,77997.7,366.56,-6.38,1279.5,616.98,629.46,250.38,993.75,570.18,69.5
186227,142199,5764.62,13870.7,2073.75,2111.46,1927.38,16420.6,707.25,2230.8,70.2
262143,174431,11614.5,28210.6,3018,3034.98,3168.36,42366.5,1065,3892.2,71.5
124616,76546.1,2226.62,5427.64,1192.5,1226.16,1166.88,8927.88,417,2304.12,72.1
138498,81435.9,3336.16,6664.78,2030.25,2109.9,1927.38,14882.4,754.5,2728.44,72.3
103665,133441,3792.62,7993.56,2563.5,2843.1,2740.14,15652.3,1017.75,3418.74,75.5
134014,53733.4,4965.38,11778.1,1156.5,1095.12,1106.04,9038.64,379.5,1332.24,75.6
149565,152283,7887.42,18855.2,3223.5,3149.64,2974.14,20597.5,1086,4715.88,77.6
