"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
171091,191292,6193.24,10261.4,5962.5,14427.7,8562.84,99468.7,1694.25,27158.8,52.6
79802.1,82668.3,382.8,730.8,1305.75,6179.16,2168.4,24928,315,935.22,52.7
127588,69785.8,1856,1372.86,2587.5,22357.9,4840.68,39397,437.25,15681.1,54.3
155681,125841,6725.1,4509.5,4655.25,34810.6,8590.14,99293.2,789,61986.6,57.4
241815,262143,3803.64,5294.24,5400.75,21719.1,10618.9,157102,1332,23503.7,57.9
102454,146923,1552.66,1687.8,4118.25,31380.2,6557.46,37151.4,628.5,10247.6,60.5
119425,74152.3,451.82,1057.92,2217,21558.4,4686.24,36295,336.75,1412.58,60.8
203706,131446,1060.24,1563.1,3012,19422,5397.6,39572.5,621.75,2829.84,60.9
126373,61089.6,2148.32,2163.4,2055,12906.7,4430.4,60563.1,513,13393.4,64
136645,101023,701.22,1039.94,2862.75,21823.6,5651.88,47688.4,508.5,2275.26,68.7
159578,96293.3,433.84,580.58,4157.25,48738.3,9090.12,20427.4,609.75,5553.6,68.8
177881,203012,3043.26,6473.38,5157,13198.4,8305.44,101458,1425,7179.12,68.9
61000.1,104628,744.72,727.9,2286,13596.2,3691.74,21297.9,505.5,1590.42,69.2
102994,109032,1037.04,1748.12,3310.5,25573.1,6162,53869.9,534,2168.4,69.7
87421.5,47063.6,2898.84,6029.68,1418.25,1588.86,1968.72,21085.7,450.75,2857.14,70.8
89860,39372.8,2496.9,5224.06,1207.5,1538.94,1620.06,24248.6,508.5,2131.74,74.7
70973.6,99176.2,586.96,806.78,2848.5,24581.7,4905.42,22334.5,498,1826.76,78.9
200556,102851,588.7,1393.74,2506.5,16825.4,4584.06,39833,517.5,2440.62,80.4
222051,262143,12024,16124.6,6846,26164.3,13065.8,224154,1656.75,76972,85.8
84131,47121.4,6266.32,15465.7,1246.5,1250.34,2004.6,38733.2,375.75,3992.82,88.3
168539,100579,658.3,1289.34,3462.75,37195.1,8026.2,56835.5,458.25,1918.8,91.4
146195,146216,1415.2,3462.6,3720.75,31936.3,7593.3,67838.9,603,3190.2,92
99522.8,119869,2999.76,5124.3,2748.75,6516.12,5172.18,91521.3,783.75,10773.4,92.6
83523.7,67708.7,295.22,643.22,1913.25,4547.4,1951.56,20465.6,379.5,1269.84,93
123304,121243,3523.5,5249,3588.75,17773.9,6332.04,61024.1,1037.25,17713.8,95.4
77947.7,80555.3,1084.6,2586.8,2337.75,19563.2,4092.66,23528.7,353.25,4924.14,95.9
124721,163995,1316.02,3028.76,4921.5,39043.7,9427.08,78802.6,810,6456.06,101.2
60258.9,111695,1071.84,881.02,1943.25,10602.5,3420.3,24650.3,582.75,4659.72,102.3
241697,262143,1458.7,1720.28,4675.5,11438.7,7594.86,83520.8,1671.75,5589.48,103.3
103455,71955.8,2353.06,4615.06,2586.75,19363.5,14802.1,262143,527.25,10101,105
98632,168365,1626.32,1399.54,5014.5,10104.9,7215.78,59429,1161,5761.08,105.9
142579,103280,44165.3,16575.2,1878,8037.12,3804.84,262143,435,262143,112.7
166491,78788.6,548.1,1412.3,2109.75,20872.8,4814.94,46225.1,291.75,1593.54,114.6
81876.1,72780.2,1059.66,2049.14,2424.75,19431.4,5462.34,72237.4,411,5950.62,122.7
88166.1,48079.2,3109.96,1755.66,1140.75,7562.88,2772.9,59660.6,192,58659.1,126.9
154808,158611,5040.2,8892.56,5199.75,19608.4,8270.34,109125,1164.75,17286.4,128.5
262143,174086,5225.22,9342.06,4498.5,11842,7667.4,92639,1399.5,6202.56,131
63347.4,84095.7,1256.86,1176.24,2265,15262.3,3841.5,28242.2,445.5,9215.7,132.4
109031,116915,2585.06,5736.2,3654,14894.9,5364.84,42467.9,990,4488.12,133.6
72127.6,100275,1683.74,2777.62,2422.5,2758.08,2781.48,18424.4,870.75,2789.28,137
89796.7,86635.4,3853.52,6986.68,2022.75,2258.88,2330.64,30281.2,690,2955.42,138.8
66780.1,94411.2,581.16,460.52,1911,3905.46,2397.72,16834.7,480,1806.48,150.8
