"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","APC-Cy7-A","AmCyan-A","FITC-A","PE-A","PE-Cy7-A","Pacific Blue-A","PerCP-Cy5-5-A","Time"
111851,59529,123138,22374.3,15565,94206.4,559.12,104.98,4367.25,52690.6,8838.18,4596.54,672,4236.96,51.5
84060.2,48139,114439,33784.1,23119,95768.7,522.58,245.92,2982.75,17624.1,4130.88,12022.9,760.5,5673.72,52.4
183215,115106,104314,38046.8,27730,89918.4,1204.08,222.14,3334.5,30761.6,5783.7,12406.7,738.75,9211.02,52.5
130386,70455,121283,29427.8,21363,90276.8,575.94,152.54,2954.25,21822.1,4648.8,2505.36,706.5,5516.16,52.5
47275.6,22462,137933,31761.6,20318,102448,397.88,240.12,2546.25,22341.5,4602.78,14718.6,543.75,1513.2,52.8
115970,66223,114767,21801.8,15375,92930.2,621.76,182.12,4624.5,59942.2,9569.04,10007.4,539.25,6289.92,52.8
127157,70418,118342,23218.3,17078,89099,1661.12,346.84,3347.25,38689.6,6524.7,15914.3,527.25,15238.9,53.5
90520.9,52758,112445,19719.2,14834,87118.5,780.68,71.92,2295.75,21262,4367.22,6713.46,453,2257.32,53.6
118689,62723,124012,43321.2,28243,100524,780.68,244.76,5373.75,51944.1,9875.58,10384.9,1019.25,4138.68,53.7
117689,73046,105589,22806.4,17282,86485.5,1129.26,133.98,2660.25,31315.4,5096.52,9977.76,357,10405.2,54.3
91619.1,57040,105266,21786.2,15568,91712.4,1002.24,291.74,1663.5,11881.7,2719.86,15354.3,361.5,11360.7,54.3
132920,77591,112269,22727.6,17715,84080.1,435.58,104.98,2556.75,21543.6,4417.14,3538.86,564,4225.26,54.5
109297,62899,113879,30630.6,22215,90362.7,850.86,288.84,3294.75,20571.7,5041.14,11787.4,850.5,6488.82,54.6
113327,55898,132867,32291.2,20718,102145,1887.32,389.76,2633.25,17343.3,4318.08,22325.2,665.25,18057,56.2
90329.2,63195,93675.3,15238.9,12427,80364.8,260.42,121.8,1436.25,9391.98,2124.72,6524.7,391.5,1510.08,56.6
121628,70733,112691,26968.5,19213,91990.2,885.08,291.74,3421.5,37709.1,6776.64,12371.6,505.5,11497.2,56.9
119472,68353,114548,22399.3,15989,91810.5,687.88,112.52,3393.75,38834.6,6741.54,10299.9,492,3740.1,57.2
123227,75327,107210,16805.9,12943,85095.4,681.5,178.06,2866.5,29928.6,5516.16,13074.4,445.5,5071.56,57.7
94484,50931,121578,32423.8,21735,97765.2,1489.44,331.76,2147.25,17809.7,3598.14,14009.6,502.5,12482.3,58.1
98564,58870,109725,32795.1,22534,95378.5,2063.64,393.82,3666.75,20394.7,5101.2,9923.16,823.5,17471.2,58.6
69806.8,38806,117890,28533.2,19254,97120.1,681.5,278.98,3378,40245.7,7139.34,19331.5,450,8476.26,58.8
90155.1,61946,95379.9,20853.3,16842,81144.9,5629.48,665.84,1645.5,2934.36,1259.7,15316.1,3535.5,58165.4,59.2
106517,56308,123974,33781,22896,96692.6,828.82,290,3204.75,13361.4,4695.6,16227.9,979.5,3173.04,59.2
94275.9,44850,137758,37404.1,23106,106090,335.82,84.1,3705,33354.4,6592.56,13693.7,765,2577.12,59.4
100193,57164,114867,21819.7,16552,86393,240.7,42.92,2189.25,20308.1,3927.3,6490.38,423,1284.66,59.6
78730.4,53479,96480.4,14290.4,11351,82506.8,247.08,66.12,1513.5,11912.9,2133.3,2346.24,305.25,801.06,59.8
71309.6,53179,87879.5,9668.1,8175,77505.6,164.14,97.44,1013.25,8977.8,1888.38,6758.7,183,1499.16,59.9
159588,88507,118169,30561.2,22687,88282.2,850.28,301.02,5466,64904.6,11437.9,19509.4,791.25,8264.1,60.2
91596,54392,110362,19528.9,15068,84937.8,234.32,116,1467.75,8573.76,2252.64,7232.16,370.5,3192.54,60.5
72207.8,49214,96155.8,14257.6,11930,78322.5,5586.56,981.94,1207.5,5163.6,1278.42,21060,3044.25,63513.8,60.7
87120.9,46154,123707,36493.1,24778,96521.5,462.26,150.22,3375.75,21885.2,4797,10391.9,816.75,1845.48,61
102354,61894,108376,19491.4,14722,86767.4,1521.92,368.3,2485.5,24616.8,4457.7,8648.64,450,15134.3,61.3
130620,69906,122454,28746.1,20210,93216.5,519.1,103.82,3384.75,33974.5,5961.54,4987.32,730.5,2269.8,61.3
103614,56619,119933,34766.9,23339,97625.7,1266.72,578.84,4374.75,47576.1,9644.7,52658.6,730.5,15130.4,61.6
117709,67622,114078,43357.9,26562,106976,812,158.92,4407.75,37215.4,7352.28,12059.6,989.25,5487.3,61.7
57536.2,30099,125276,51517.4,27923,120913,656.56,211.12,4793.25,36660.8,8062.86,16908.1,1080,3143.4,61.9
