"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
95794.3,65282,96167,11771,10034,76880.9,254.04,34.22,1148.25,14968.2,2308.8,1815.06,163.5,1432.08,59.1
88793.7,55037,105732,19922.8,15453,84492.2,672.22,281.3,1491,14908.9,3052.92,17879.9,270,5983.38,59.6
85471.9,50826,110209,27796.1,19002,95865.9,795.18,252.88,2892.75,29072.2,5409.3,12476.1,505.5,6433.44,60.9
67434.9,39932,110674,16700.6,12316,88867.3,940.76,200.68,1092,7737.6,1658.28,8818.68,249.75,7417.8,60.9
104778,61070,112440,20957,15614,87962.1,391.5,284.78,1670.25,6226.74,1780.74,9742.2,377.25,5051.28,61.4
101794,61551,108384,14379.3,10175,92615.4,7883.94,3659.8,3147.75,7013.76,2143.44,37418.2,716.25,103780,61.6
92272.6,49706,121659,35004.1,23422,97943.2,2292.74,452.98,2712.75,13632.8,3499.08,17624.1,627,26874.9,61.7
56812,30897,120505,22651.2,15633,94957.4,197.78,133.4,1911,11562.7,3079.44,14582.1,469.5,1713.66,62.1
83104.2,52472,103795,20453.2,15132,88581.7,570.14,107.3,1267.5,12950.3,2213.64,4733.04,204.75,4123.86,62.8
111586,77331,94566.2,19443.1,15491,82255.5,541.72,196.04,1245.75,13071.2,2553.72,7894.38,216,6052.02,63
83565.2,46567,117605,12624.3,9575,86406.9,164.14,87.58,1729.5,19593.6,3437.46,4461.6,297,1140.36,63.7
120834,69020,114734,32781.8,22408,95876.1,568.98,241.86,2177.25,21062.3,4243.98,15053.2,459,4974.06,63.8
130129,78523,108607,35432.3,25279,91858.5,230.26,69.02,1557.75,11105.6,2554.5,9518.34,392.25,1143.48,64
108350,67423,105317,20817.4,15407,88550,1009.78,192.56,3024,41234.7,6683.82,11407.5,354.75,8766.42,64.3
157465,85724,120382,28530.8,20172,92692.7,356.7,178.64,5205,69072.1,10893.5,7788.3,629.25,2570.88,64.8
70148.1,38527,119325,28920.8,20731,91426.2,1140.86,324.22,1332,6525.48,1847.04,13349.7,325.5,14270.9,65
92669,58843,103210,16601.5,13231,82230.9,297.54,226.2,2527.5,34445.6,5767.32,8841.3,342,4499.04,66.4
99012.1,66581,97458.1,16366.7,13073,82047.8,603.2,178.06,1511.25,17177.9,3106.74,10335.8,240.75,7433.4,66.7
66901.8,47222,92848.2,14763.8,12098,79977.1,292.32,37.12,843.75,6790.68,1278.42,2495.22,177.75,1924.26,66.7
128818,77501,108930,36868.3,25449,94942.8,331.76,87.58,1972.5,11313.1,2808,6524.7,405,3937.44,66.9
151970,84129,118384,31495.6,21285,96974.3,371.78,179.8,3000,24751,5030.22,9715.68,594,2008.5,67.2
99788,67523,96851.5,18500.8,14419,84088.3,544.62,131.66,921.75,4560.66,1362.66,9737.52,289.5,4219.02,67.7
151607,84354,117786,26407.7,19058,90809.8,1432.6,195.46,1960.5,15958,3325.14,9168.12,468.75,14259.2,67.9
131968,65961,131117,42077.1,25069,109999,1143.76,240.7,3601.5,34760.7,6699.42,15316.1,675.75,8631.48,69.2
105660,54124,127939,37253.6,24524,99553.5,3144.18,609.58,2796.75,21114.6,4768.14,28451.3,603,26580.8,69.3
58180.8,28868,132082,33355.1,20304,107662,805.04,196.62,2363.25,3297.84,2303.34,11000.3,774,4995.12,69.6
85140.8,49178,113461,21904.7,15994,89755.5,527.22,205.32,1346.25,10566.7,2245.62,8069.1,294,5267.34,69.9
115160,70746,106679,22659,17338,85648.9,437.9,124.12,1128,5705.7,1977.3,6864,300,5683.86,71.9
81544.9,52491,101810,16747.4,13215,83053.8,688.46,112.52,1020,4708.08,1579.5,13593.8,283.5,6895.2,72.2
74786.4,38428,127542,29194.6,20936,91388,966.28,218.66,2005.5,15032.9,3313.44,13784.2,451.5,7775.04,72.9
82199.1,51350,104907,17266.1,13650,82897.4,473.86,165.88,1167,4841.46,1420.38,6349.98,288.75,3205.8,72.9
113771,58822,126757,32339.6,19650,107858,693.1,336.98,5157.75,70597.8,11927,25669.8,594,5814.12,74.6
46357.6,34834,87216.4,9529.26,8246,75734.9,354.96,194.88,1203,18399.4,3170.7,11529.2,108,3258.84,74.7
85461,41094,136292,32880.1,20630,104451,349.16,182.7,1891.5,6359.34,2751.06,18581.9,569.25,1808.04,75.4
76132.1,51199,97451,18628.7,15967,76461,433.26,34.8,1239.75,2998.32,1497.6,1499.94,419.25,1335.36,76.2
72381.2,45922,103296,18211.4,14402,82870.8,446.6,194.88,1324.5,11268.7,2662.14,11300.6,259.5,5870.28,76.2
83587,42906,127673,33378.5,22330,97962.2,1835.12,548.1,4263,52672.6,9282,36391.7,621,19049.9,76.3
113978,72536,102978,17839.4,14008,83461,292.9,89.9,1470.75,8225.88,2375.88,11856.8,383.25,1077.18,76.4
74843.5,54422,90128,9887.28,8118,79819.3,212.86,104.98,720.75,3334.5,1017.9,6573.06,153.75,2895.36,76.4
70956.6,43805,106157,23276,18221,83717.4,168.2,34.22,1133.25,9218.04,1979.64,3095.04,216,681.72,77.4
118797,60213,129299,34709.2,24113,94335.1,1050.38,213.44,4464.75,51349,8955.18,12661,609,9654.06,78.1
60388.8,43808,90340.5,20979.7,15152,90742,843.9,327.7,1142.25,6412.38,1992.9,17470.4,270.75,8136.18,78.7
153258,97212,103320,25516.1,19672,85005.4,555.06,317.26,2078.25,19117,4197.96,17728.6,450.75,5581.68,79.3
135535,71348,124494,46725.1,31056,98601.8,205.32,159.5,3018,25453,5353.14,16249,648.75,1673.88,80.1
105779,62138,111564,28599.5,20046,93499.7,954.1,181.54,1674.75,2181.66,1809.6,8800.74,579.75,7207.2,80.3
135367,68721,129093,36516.5,23265,102865,897.84,751.68,3624.75,39284.7,8362.38,49445.8,651.75,7620.6,80.4
56371.3,30355,121705,25107.4,18211,90354.2,752.26,110.78,1623.75,11515.1,2454.66,6154.2,378.75,6895.2,80.8
96817,51477,123259,32900.4,21457,100488,455.3,143.84,2281.5,17586.7,3565.38,8618.22,417.75,3309.54,81.4
104498,51423,133177,40131.8,25707,102310,829.4,88.16,2871.75,15134.3,4194.06,10694.6,665.25,4577.82,81.6
148868,80619,121017,29618.2,19743,98316.1,1124.62,332.92,4219.5,56032.1,9023.82,12774.1,555,13945.6,82.6
161473,88151,120048,35851.9,21463,109472,2458.62,494.16,3795.75,31317.8,6709.56,23361,723.75,24246.3,83.4
102237,68692,97540.1,18621.7,14180,86064.4,198.94,58,1137.75,3072.42,1347.06,5610.54,387.75,1584.18,83.6
82389.5,57178,94432.8,10237.5,8378,80081.7,116.58,43.5,1824.75,24566.9,3916.38,5254.86,205.5,1457.82,83.6
133607,67209,130281,32074.4,20237,103870,841.58,333.5,2755.5,28008.2,5362.5,13637.5,540.75,10078.4,83.7
135265,79088,112087,26956.8,18948,93236.3,1075.32,219.82,1701,6084,2198.82,7837.44,516.75,12334.9,84.7
89817.1,55615,105839,18248.9,12779,93587.8,139.78,247.66,1911.75,16968.9,3515.46,18979.7,341.25,1447.68,84.8
86525.9,50718,111806,39716.8,26766,97245.8,602.04,215.18,2637.75,19978.1,4357.08,9653.28,565.5,5058.3,85.3
110119,63107,114357,30512,21539,92838,361.92,246.5,2261.25,23798.6,4505.28,16568.8,438.75,1749.54,87.5
138995,78369,116235,49509.7,26929,120490,1800.9,366.56,3714.75,34143.7,6470.1,11787.4,756,15109.4,88.5
67398.2,42773,103266,16491.5,13009,83080.1,190.24,42.92,1242,12442.6,2267.46,4378.14,198.75,960.96,88.8
104390,49358,138605,40063.9,24634,106586,1218,488.36,2158.5,2637.18,2790.84,29552.6,712.5,11265.5,90.2
87844.4,50581,113817,28116.7,20753,88789.7,267.96,77.72,1832.25,13558,2818.14,4566.9,357,2057.64,90.5
80677.2,46182,114488,17651.4,13382,86444.6,-29.58,187.92,1728,22141.1,3996.72,18787.9,231.75,1102.14,90.8
87541.2,54499,105270,20769.8,16263,83697.5,366.56,52.78,1105.5,5754.84,1471.86,7330.44,262.5,3110.64,91
80412.7,33934,155299,42868.8,22414,125344,3204.5,493.58,5154.75,63081.7,10398.2,20689.5,742.5,32253.8,91.2
65010,40913,104136,21354.8,15733,88953.9,328.86,145,1024.5,5168.28,1758.12,14694.4,287.25,1901.64,92.5
114653,63877,117630,20730.8,15061,90207.6,510.98,103.82,2074.5,16000.1,3246.36,5591.04,394.5,5434.26,92.5
113065,68506,108163,23350.9,16350,93597.7,239.54,220.98,1593.75,12478.4,2722.98,12192.2,393,5005.26,92.9
145835,81995,116561,22882.1,17163,87374,1130.42,517.94,4209.75,58835.4,9856.86,26003.6,459.75,10339.7,94
113259,66884,110976,21284.6,15668,89029.2,359.02,196.62,1438.5,8638.5,2345.46,10966,395.25,1143.48,94
133699,67747,129335,41907.1,27731,99037.9,671.64,253.46,3063.75,33455,6031.74,15519.7,581.25,6923.28,94.7
126850,85762,96933.8,20198.9,15462,85613.4,279.56,75.98,1013.25,6078.54,1675.44,8444.28,237,775.32,95.3
131540,80855,106618,22135.6,16547,87670.3,810.84,243.6,1563,10238.3,2478.84,15844.1,378,7117.5,95.5
128078,91652,91582.5,22577.1,17428,84898.6,736.6,98.02,1223.25,7356.18,1802.58,5170.62,301.5,4714.32,95.7
75284.8,42698,115553,26255.6,19006,90533.8,1680.84,312.04,2073,18345.6,4013.1,19936.8,393,14844.2,95.8
50168.4,30238,108732,11174.3,8894,82338.4,27.84,60.32,880.5,1404.78,776.88,1775.28,179.25,474.24,95.9
60290.2,28828,137060,26488,16712,103873,832.3,132.82,2501.25,22244.8,4148.82,7237.62,519,6053.58,96.4
82639.7,56531,95803.7,20292.5,15959,83331.5,180.38,160.66,917.25,3670.68,1329.12,12119.6,218.25,2839.2,97.4
47656.4,26909,116066,37897.1,23533,105538,440.22,310.3,2343.75,5796.18,3105.96,15766.9,738.75,2245.62,98.6
119407,77636,100797,27575.3,20352,88796.1,345.68,161.24,1290.75,5478.72,1622.4,6448.26,366,4110.6,99.4
101262,61836,107321,28735.2,18952,99366.3,669.32,284.78,5735.25,82417.1,12868.4,15563.3,556.5,4974.84,99.9
100499,62793,104889,16824.6,12505,88174.1,663.52,215.18,1911.75,22031.9,4085.64,11056.5,282.75,4446,100.6
62327.4,43584,93720,9074.52,7268,81825.5,131.08,39.44,392.25,1205.88,563.16,4672.98,154.5,676.26,100.8
121830,67952,117499,38732.5,27204,93308.7,401.36,319.58,2179.5,10494.1,3579.42,23397.7,620.25,2765.1,101.2
129233,75757,111797,34363.7,23133,97352.6,711.66,196.62,2415,23460.8,4470.18,13098.5,384.75,6640.92,101.5
99039.3,61670,105248,17153,12966,86698.9,136.3,48.72,1014,7238.4,1590.42,4199.52,226.5,739.44,102.2
76180.4,52759,94629.5,10639.2,8823,79026.5,777.2,117.74,1314,15419,2559.18,3956.16,246.75,6279.78,102.4
61066,38704,103401,16612.4,13108,83057.1,95.7,117.74,1107,11623.6,2209.74,5386.68,180.75,1678.56,103.2
82378.6,47594,113434,22832.2,16330,91630.6,1283.54,290.58,1695,20000,3322.8,9519.9,279.75,16655.3,103.5
104193,61008,111926,20297.9,14592,91162.7,511.56,200.1,1931.25,8960.64,2898.48,13585.3,547.5,5858.58,103.6
80107.4,46797,112185,19005.5,12873,96756.2,349.74,86.42,1158,7730.58,1928.16,10619.7,285.75,3319.68,105.4
49139.5,41298,77979.7,8283.6,7558,71827.7,197.2,77.72,914.25,12938.6,2309.58,11501.9,114.75,570.18,105.6
72928.6,44475,107464,12082.2,9355,84641.3,733.12,348,1517.25,16921.3,3451.5,26041.1,174,6487.26,105.6
110741,70722,102620,23430.4,17554,87475,760.96,94.54,1676.25,17354.2,3137.94,9724.26,296.25,4604.34,106.5
174894,93143,123056,61449.2,33347,120764,3550.76,1021.96,4558.5,31554.1,7888.92,51079.9,976.5,38943.8,106.7
64791.1,37820,112273,13359.8,9928,88190,502.86,180.38,2428.5,31308.4,5109.78,7353.06,320.25,4409.34,106.9
85020.4,47813,116535,25619.9,18449,91009,493.58,116,2658.75,30845.1,5199.48,6969.3,379.5,3379.74,107.1
108497,65718,108196,26086.3,20278,84307.8,415.28,173.42,2063.25,12935.5,3354,12760.8,522.75,2063.1,107.2
108977,69750,102394,24117.6,18642,84785.5,598.56,43.5,1904.25,6547.32,2180.88,3407.82,455.25,3527.94,107.4
70151.5,38826,118412,14863.7,11374,85643.2,392.08,107.3,846.75,5651.1,1606.02,5008.38,208.5,2371.2,109
87365,50799,112710,28253.9,20395,90789.4,411.8,117.16,3858.75,48643.1,7705.62,9622.86,457.5,2569.32,109.6
97594.3,54039,118358,36915.1,26855,90086.2,953.52,287.1,2745,32740.5,5498.22,11663.3,447,9600.24,109.6
98917.6,57807,112143,15394.9,11403,88478.3,24.94,104.4,1566.75,13873.9,2677.74,9982.44,325.5,1400.1,111
97883.3,59322,108137,31175.8,20782,98312.9,704.12,198.36,2460.75,30552.6,5088.72,10383.4,394.5,6618.3,111
73714,48921,98749.5,14398.8,11037,85497.9,151.96,71.34,976.5,8153.34,1769.82,10846.7,210,2403.18,111.7
86978.1,56043,101711,14832.5,11243,86459.3,595.66,91.64,1312.5,10165,2419.56,9415.38,275.25,5151.12,113.6
111483,71815,101735,19156,14551,86276.5,437.9,186.76,1152,6013.02,1564.68,7056.66,318.75,5937.36,114.2
156560,91715,111872,25502.1,18803,88885,517.94,223.88,2477.25,30659.5,5221.32,13540,384.75,6533.28,114.9
73522.3,47799,100805,19307.3,15059,84024.6,338.14,80.62,1248.75,8784.36,2058.42,9290.58,389.25,1964.04,115.1
109246,58930,121492,47081.6,26802,115123,1495.24,350.9,3465,13856.7,4254.12,16261.4,917.25,13327.1,115.6
