"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
156115,92418,110705,23042.8,17138,88115.9,866.52,364.82,1675.5,2951.52,2150.46,14991.6,531.75,9296.04,51.2
98640.8,62569,103318,14004.1,11213,81849.1,259.26,178.06,4096.5,64736.1,10035.5,16961.1,357.75,1728.48,52.1
80975.1,48849,108636,20606.8,15621,86453.4,370.04,110.2,1385.25,3487.38,1540.5,5167.5,327.75,3179.28,55.3
53510.6,32310,108538,14983.8,11698,83944.1,933.8,299.28,2182.5,20360.3,4286.1,17291.8,430.5,10795.2,55.5
69675.5,39110,116754,17214.6,12466,90500.2,203,55.1,5190.75,80942.9,12265.5,12359.1,421.5,1708.98,60.3
95227.9,52447,118994,49260.1,22859,141227,1341.54,310.88,5664.75,52510.4,10249.2,27041,900,11970.7,62
82662.8,38963,139039,31997.9,15831,132463,717.46,368.88,10050,150737,23280.7,26897.5,738.75,6815.64,62.4
189096,103714,119488,54317.6,37506,94911.8,937.86,285.94,10269,147411,23482.7,18843.2,1185.75,5020.08,62.7
129528,77474,109569,32153.9,23510,89631.7,1231.34,512.72,2712.75,13436.3,3752.58,32216.3,504,12288.9,65.3
116513,69482,109896,15720.1,11534,89321.5,223.88,117.16,2076.75,21882.1,3815.76,7381.14,372,2579.46,65.7
118003,65819,117496,52161.7,28239,121055,425.14,256.94,8074.5,102622,16767.7,30720.3,900.75,3930.42,67.2
92735.7,54011,112524,22562.3,17339,85278.4,699.48,187.34,2141.25,20165.3,4059.12,9588.54,396.75,5990.4,68
98531.3,53174,121438,26830.4,18546,94810.7,1181.46,241.86,2541,23907,4676.1,11163.4,438.75,10844.3,68.4
97255,62505,101971,28140.1,20605,89501.9,658.3,327.7,5143.5,80690.2,12152.4,10767.9,424.5,7859.28,70.1
127452,70895,117818,33788.8,23487,94281.3,1874.56,587.54,2124,12657.8,3720.6,32136.8,600.75,17835.5,71.4
94069.8,56033,110024,23006.1,16305,92470.3,500.54,129.34,1827,12670.3,2613,7251.66,462.75,4509.18,78.3
75577.2,46355,106850,17558.6,13095,87874.7,643.22,135.14,1690.5,13269.4,2783.82,7276.62,414,5818.02,79.4
