"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
186270,127798,4834.3,1026.6,2581.5,4588.74,3073.2,32972.9,770.25,49239.8,61.4
191348,234814,24436.6,3876.14,2873.25,5170.62,3655.08,105167,778.5,262143,61.4
262143,179097,9600.74,1839.76,3431.25,13185.1,4609.8,75007.1,741,104690,61.4
262143,152866,422.24,329.44,1413,2463.24,1890.72,31596.2,297.75,1904.76,61.5
228325,168485,6678.7,1725.5,2377.5,2641.08,2789.28,55973.6,599.25,81208.9,61.9
215843,63917.1,718.62,455.3,1194.75,12068.2,2810.34,28505.9,168,7939.62,62.1
192915,108790,2701.06,629.88,2439,3569.28,2776.8,27440.4,741.75,22424.2,62.3
211915,190686,7055.7,1572.38,2735.25,6020.82,3752.58,55150.7,696,78259,62.5
178441,262143,12500.7,2662.2,2895,3677.7,3108.3,68872.4,874.5,149290,62.6
262143,132325,1218.58,579.42,1924.5,11523.7,3362.58,38485.2,378,11885.6,63.1
262143,234997,13466.4,2825.76,3251.25,4734.6,4331.34,96416.6,971.25,159765,63.1
135808,94546.1,1021.96,475.6,1704.75,8672.04,2602.86,28198.6,339.75,9915.36,63.5
262143,138643,2380.9,686.14,1608,2967.12,1813.5,16097.6,535.5,26873.3,64
262143,247932,10180.7,21442,5493,5364.84,5046.6,42008.5,1776,13550.9,64.1
170783,167285,7976.16,1741.16,2931,7324.98,3449.16,38239.5,858,89294.4,64.1
262143,111949,4158.6,1445.36,3632.25,27975.5,6787.56,62017,843.75,49672.7,64.6
125330,134592,4515.88,1002.82,1854,3633.24,1944.54,27523.9,480,50136.1,64.7
197567,188315,11671.3,2139.04,2522.25,8691.54,3433.56,61784.6,618,140270,64.7
262143,262143,28254.7,10377.4,5481.75,10046.4,21592.7,262143,1642.5,262143,65.1
193166,128544,5331.36,12456.1,1882.5,1869.66,1597.44,16637.4,594,5544.24,65.1
254354,251688,13750.1,2844.32,3810.75,5469.36,4517.76,88466,1078.5,153929,66
175977,110881,2625.08,1198.86,1311,2910.96,1705.08,28502,378,30363.8,66.1
225765,110790,863.04,555.06,2856.75,10300.7,3934.32,30239.8,741.75,2967.12,66.3
262143,262143,14022.1,3308.9,7095,17375.3,8428.68,89219.5,1877.25,144766,66.4
164009,152180,4402.2,1278.9,2488.5,10513.6,3807.18,52998.7,618,48558.1,66.4
121636,40494.5,150.22,99.18,789,1803.36,939.12,3754.14,288,1397.76,66.4
262143,102853,2655.24,806.2,1389,5928.78,2179.32,26225.9,369,25487.3,66.7
224548,262143,16524.2,3281.64,5205.75,5613.66,6122.22,106890,1585.5,187906,67
262143,229588,9132.68,16191.9,5935.5,6790.68,5665.92,64745.5,1493.25,25040.3,67.3
262143,196110,5744.32,1077.64,2098.5,3603.6,2258.88,31171.1,588.75,66086.3,67.7
153976,155998,11413.8,2079.3,2656.5,3435.12,3123.9,58762.9,776.25,128911,67.7
262143,262143,25261.9,4512.98,8300.25,43037.3,11613.4,125851,2122.5,262143,68.5
86198.8,108358,4871.42,929.74,2018.25,3089.58,1959.36,17645.9,612.75,54649.9,68.6
262143,254824,26618.5,4876.64,3744.75,3885.18,5011.5,126745,1125,262143,68.9
97027.2,101252,2505.6,674.54,1628.25,2299.44,1822.86,24799.3,509.25,24833.6,69.1
118574,156066,5752.44,13396.3,3012.75,2045.16,2031.12,32146.9,806.25,12578.3,70.1
146658,87678.2,2124.54,824.76,1436.25,4655.04,2090.4,27381.1,318.75,20862.7,70.2
204635,244658,3629.06,715.72,4026,11416.9,4220.58,26366.3,1120.5,37480.6,70.3
156747,58018.7,160.08,238.38,796.5,854.88,1077.96,16738,203.25,1031.94,70.5
142191,253037,12717.7,2268.38,2820.75,4715.1,3471,72604.7,903,143710,70.9
131585,160002,12867.3,2256.2,3001.5,2716.74,2865.72,63702.6,1476,165107,71.1
262143,209856,10556.6,2201.68,5485.5,6983.34,6107.4,59244.9,1640.25,113123,71.2
262143,189326,2906.38,2387.28,2802.75,3381.3,2942.94,47337.4,822.75,30145.4,71.3
153090,134265,4144.68,1235.98,2142,3365.7,2882.88,48556.6,573.75,46984.9,71.4
128809,104286,5473.46,12020.5,1601.25,1726.14,1586.52,20172.4,523.5,7169.76,71.4
179952,103185,2605.94,644.96,2601,3598.14,2918.76,22342.3,743.25,26800.8,72.1
165696,189184,1854.26,946.56,2142,3449.94,2031.12,22360.3,561.75,19280.8,72.1
92520.8,95930.6,1887.9,408.9,2178.75,6728.28,2241.72,20977.3,472.5,14903.5,72.1
69971.3,89508.9,597.98,249.4,1418.25,6883.5,1784.64,13424.6,246,6832.8,72.3
262143,262143,5015.84,1385.62,5547.75,11779.6,6040.32,67339.7,1548.75,63216.7,72.4
211755,182675,13558.7,32478.8,5131.5,5061.42,5091.84,64627.7,1785.75,21486.7,72.7
245757,86050.4,1061.4,457.04,1125,2375.1,1549.86,28101.8,252,12510.4,72.8
240887,109893,1264.98,494.74,2035.5,1546.74,2198.82,36782.5,486.75,11264,72.9
226877,223481,9359.46,1999.26,4301.25,6307.08,4857.84,55245.8,1293.75,99236.3,73
