"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
159115,33494.8,533.02,249.4,726,3871.14,1531.14,15240.4,162.75,4758.78,51.3
184376,92920.6,5157.36,13415.4,2076.75,1872.78,2559.18,53855.9,621,2714.4,51.5
202269,105047,4907.96,11488.6,2014.5,1808.04,1951.56,22981.9,569.25,3334.5,51.6
262143,129787,955.84,276.66,1398,1773.72,1694.94,13625.8,407.25,9642.36,51.6
180093,82241.6,459.36,354.38,1170.75,6060.6,1921.92,19056.2,195,4779.84,51.8
262143,80928.1,457.62,564.34,1356.75,9867.78,2518.62,23362.6,338.25,1248.78,52
204728,102617,693.68,544.62,958.5,2595.84,1707.42,31297.5,213,7849.92,52.1
228358,130056,7508.68,17525.3,2712.75,2791.62,2584.92,14854.3,903.75,5294.64,52.4
262143,223748,1994.62,1319.5,5107.5,31775.6,8983.26,77745.7,1123.5,18898.6,52.5
262143,145846,639.74,344.52,2758.5,30550.3,5799.3,19705.9,437.25,6117.54,52.7
262143,131915,1347.92,516.78,1822.5,6651.84,2349.36,18667.7,480,20657.5,53
262143,240850,3520.6,555.64,4884.75,14413.6,5523.96,26919.4,1246.5,33461.2,53.3
231253,222523,7273.78,2303.18,4305.75,7746.18,6106.62,76922.8,1236.75,77673.2,53.6
262143,252397,4727,1336.9,5815.5,28468.4,8075.34,41951.5,1263.75,43935.1,54.6
186319,97748.8,4280.98,11604.6,1829.25,1841.58,1955.46,23939,574.5,2938.26,54.8
173480,72985.4,1648.94,1059.66,942,1681.68,1394.64,19428.2,237.75,10436.4,55.6
262143,133404,2002.16,723.26,3854.25,41467.1,8157.24,46732.1,501,17426.8,55.6
223226,91972.1,2547.36,869.42,1353,2910.96,1747.98,32400.4,390,36305.1,55.7
253380,153321,7320.18,18205.6,2683.5,2748.72,3540.42,68880.2,836.25,6805.5,55.7
255102,78145.9,328.28,252.3,1093.5,7371.78,1963.26,19808.1,200.25,2884.44,56
160097,100612,3480,9406.44,2052.75,2269.02,2006.94,22276,543,2769.78,56.2
170151,73509.5,3728.82,619.44,1057.5,2718.3,944.58,16630.4,2161.5,47268.8,56.4
154433,121687,6219.34,16974.9,1468.5,1364.22,2948.4,96319.1,463.5,3566.16,56.7
262143,69055,547.52,251.14,1035.75,7258.68,1882.14,14738.1,246.75,4328.22,56.8
195791,117347,5601.06,13820.2,2888.25,2972.58,3220.62,35050.9,861,5676.84,56.9
262143,82445.2,382.8,216.34,1113.75,7071.48,1917.24,14296.6,240,4812.6,57.1
262143,179685,1878.62,404.26,2318.25,12975.3,3130.92,13652.3,444,18027.4,57.3
262143,79639.6,2147.74,1400.7,1214.25,5835.96,2295.54,37871.3,249.75,17548.4,57.4
262143,161219,1749.86,954.1,3049.5,14251.4,4798.56,49555,647.25,12842.7,57.5
95134,82034.2,5436.34,10257.9,1725,1665.3,1458.6,14590.7,401.25,10284.3,57.9
262143,86743.8,957,605.52,1055.25,5913.18,2308.02,39494.5,269.25,10787.4,58
262143,151500,652.5,1076.48,4442.25,38727,8867.04,62825.1,726.75,3489.72,58
222542,108096,5933.4,13140.5,1728,1632.54,1744.08,20780.8,480,3928.08,58.3
251809,88988.6,504.02,304.5,1428.75,3229.98,2323.62,32357.5,416.25,1671.54,58.5
197078,52625.8,533.6,171.1,1017.75,6359.34,1642.68,7568.34,180.75,3474.12,58.8
257537,97725.4,676.86,393.82,1297.5,9147.84,2641.86,26957.6,262.5,6787.56,58.8
262143,262143,2522.42,2001.58,5739.75,34211.6,11552.6,108410,1205.25,21290.9,59.1
118976,29901.3,56.84,56.26,632.25,1147.38,615.42,5101.98,129,1326,59.4
117923,93825.4,2398.88,7100.94,1256.25,1233.18,2153.58,59629.4,322.5,3213.6,60
